"","kingdom","class","n","trophic"
"1","Animalia","Mammalia",70985,3
"2","Animalia","Gastropoda",2681,1
"3","Animalia","Polyplacophora",490,1
"4","Animalia","Bivalvia",1456,1
"5","Animalia","Elasmobranchii",780,3
"6","Animalia","Teleostei",291256,2
"7","Animalia","Malacostraca",12956627,2
"8","Animalia","Ascidiacea",41,2
"9","Animalia","Polychaeta",1205,1
"10","Animalia","Copepoda",52000,1
"11","Chromista","Phaeophyceae",42800000,0
"12","Animalia","Holocephali",67,2
"13","Animalia","Asteroidea",30804,2
"14","Animalia","Ophiuroidea",109,2
"15","Animalia","Ostracoda",21,1
"16","Animalia","Echinoidea",1149,2
"17","Animalia","Holothuroidea",473,2
"18","Animalia","Cephalopoda",69919,3
"19","Animalia","Myxini",1032,2
"20","Animalia","Scyphozoa",66,2
"21","Animalia","Thaliacea",260320,2
"22","Animalia","Chromadorea",27,1
"23","Animalia","Enoplea",62,1
"24","Animalia","Tentaculata",152,1
"25","Plantae","Magnoliopsida",464,0
"26","Animalia","Branchiopoda",37,1
"27","Animalia","Thecostraca",2022,1
"28","Chromista","Globothalamea",92000,0
"29","Chromista","Bacillariophyceae",470000,0
"30","Chromista","Dinophyceae",1286000,0
